Campaign,Ad group,Keyword,Match type,Final URL
"KX Search - 9-City IE","AG2 Landscaping","desert landscaping temecula","Exact","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
"KX Search - 9-City IE","AG2 Landscaping","xeriscaping murrieta","Exact","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
"KX Search - 9-City IE","AG2 Landscaping","sod installation beaumont","Exact","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
"KX Search - 9-City IE","AG2 Landscaping","landscaping company inland empire","Exact","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
"KX Search - 9-City IE","AG2 Landscaping","turf installation temecula","Exact","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
"KX Search - 9-City IE","AG2 Landscaping","artificial turf","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
"KX Search - 9-City IE","AG2 Landscaping","paver patio","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
"KX Search - 9-City IE","AG2 Landscaping","landscaping company","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
"KX Search - 9-City IE","AG2 Landscaping","backyard landscaping","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
"KX Search - 9-City IE","AG2 Landscaping","drought tolerant landscaping","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
"KX Search - 9-City IE","AG2 Landscaping","xeriscaping","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
"KX Search - 9-City IE","AG2 Landscaping","drip irrigation","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
"KX Search - 9-City IE","AG2 Landscaping","landscaping riverside","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
"KX Search - 9-City IE","AG2 Landscaping","turf corona","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
"KX Search - 9-City IE","AG2 Landscaping","paver patio temecula","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
"KX Search - 9-City IE","AG3 Construction","patio cover contractor riverside","Exact","https://kustomxworks.com/book?service=Construction%20Expertise"
"KX Search - 9-City IE","AG3 Construction","room addition contractor corona","Exact","https://kustomxworks.com/book?service=Construction%20Expertise"
"KX Search - 9-City IE","AG3 Construction","structural framing repair","Exact","https://kustomxworks.com/book?service=Construction%20Expertise"
"KX Search - 9-City IE","AG3 Construction","dry rot repair contractor","Exact","https://kustomxworks.com/book?service=Construction%20Expertise"
"KX Search - 9-City IE","AG3 Construction","kitchen remodel contractor temecula","Exact","https://kustomxworks.com/book?service=Construction%20Expertise"
"KX Search - 9-City IE","AG3 Construction","bath remodel inland empire","Exact","https://kustomxworks.com/book?service=Construction%20Expertise"
"KX Search - 9-City IE","AG3 Construction","patio cover","Phrase","https://kustomxworks.com/book?service=Construction%20Expertise"
"KX Search - 9-City IE","AG3 Construction","room addition","Phrase","https://kustomxworks.com/book?service=Construction%20Expertise"
"KX Search - 9-City IE","AG3 Construction","house remodel","Phrase","https://kustomxworks.com/book?service=Construction%20Expertise"
"KX Search - 9-City IE","AG3 Construction","structural repair","Phrase","https://kustomxworks.com/book?service=Construction%20Expertise"
"KX Search - 9-City IE","AG3 Construction","dry rot repair","Phrase","https://kustomxworks.com/book?service=Construction%20Expertise"
"KX Search - 9-City IE","AG3 Construction","pergola contractor","Phrase","https://kustomxworks.com/book?service=Construction%20Expertise"
"KX Search - 9-City IE","AG3 Construction","decking contractor","Phrase","https://kustomxworks.com/book?service=Construction%20Expertise"
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman corona","Exact","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman temecula","Exact","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman murrieta","Exact","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman riverside","Exact","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman moreno valley","Exact","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman near me","Exact","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","drywall repair","Exact","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","house painting contractor","Exact","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman corona","Phrase","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman temecula","Phrase","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman murrieta","Phrase","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman moreno valley","Phrase","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman norco","Phrase","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman hemet","Phrase","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman beaumont","Phrase","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman perris","Phrase","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman palm springs","Phrase","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","drywall repair","Phrase","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","interior painting","Phrase","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","home repair","Phrase","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","door installation","Phrase","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG4 Handyman & Repairs","flooring installation","Phrase","https://kustomxworks.com/book"
"KX Search - 9-City IE","AG5 Feature Walls","slat wall installation","Exact","https://kustomxworks.com/book?service=Custom%20Slat%20Walls"
"KX Search - 9-City IE","AG5 Feature Walls","acoustic wood wall panels","Exact","https://kustomxworks.com/book?service=Custom%20Slat%20Walls"
"KX Search - 9-City IE","AG5 Feature Walls","custom feature wall installation","Exact","https://kustomxworks.com/book?service=Custom%20Slat%20Walls"
"KX Search - 9-City IE","AG5 Feature Walls","fireplace media wall","Exact","https://kustomxworks.com/book?service=Custom%20Slat%20Walls"
"KX Search - 9-City IE","AG5 Feature Walls","custom carpentry contractor","Exact","https://kustomxworks.com/book?service=Custom%20Slat%20Walls"
"KX Search - 9-City IE","AG5 Feature Walls","slat wall","Phrase","https://kustomxworks.com/book?service=Custom%20Slat%20Walls"
"KX Search - 9-City IE","AG5 Feature Walls","wood feature wall","Phrase","https://kustomxworks.com/book?service=Custom%20Slat%20Walls"
"KX Search - 9-City IE","AG5 Feature Walls","media wall","Phrase","https://kustomxworks.com/book?service=Custom%20Slat%20Walls"
"KX Search - 9-City IE","AG5 Feature Walls","custom carpentry","Phrase","https://kustomxworks.com/book?service=Custom%20Slat%20Walls"
"KX Search - 9-City IE","AG5 Feature Walls","millwork installation","Phrase","https://kustomxworks.com/book?service=Custom%20Slat%20Walls"
