Campaign,Ad Group,Keyword,Criterion Type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Extension Type,Sitelink Text,Sitelink Final URL,Callout Text,Snippet Header,Snippet Values,Phone Number
"KX Search - 9-City IE","AG1 Block Walls","block wall builder","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG1 Block Walls","block wall repair","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG1 Block Walls","block wall corona","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG1 Block Walls","retaining wall riverside","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG1 Block Walls","masonry temecula","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","artificial turf installation corona","Exact","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","paver patio contractor riverside","Exact","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","desert landscaping temecula","Exact","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","xeriscaping murrieta","Exact","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","sod installation beaumont","Exact","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","landscaping company inland empire","Exact","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","turf installation temecula","Exact","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","artificial turf","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","paver patio","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","landscaping company","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","backyard landscaping","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","drought tolerant landscaping","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","xeriscaping","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","drip irrigation","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","landscaping riverside","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","turf corona","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","paver patio temecula","Phrase","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG3 Construction","patio cover contractor riverside","Exact","https://kustomxworks.com/book?service=Construction%20Expertise","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG3 Construction","room addition contractor corona","Exact","https://kustomxworks.com/book?service=Construction%20Expertise","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG3 Construction","structural framing repair","Exact","https://kustomxworks.com/book?service=Construction%20Expertise","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG3 Construction","dry rot repair contractor","Exact","https://kustomxworks.com/book?service=Construction%20Expertise","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG3 Construction","kitchen remodel contractor temecula","Exact","https://kustomxworks.com/book?service=Construction%20Expertise","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG3 Construction","bath remodel inland empire","Exact","https://kustomxworks.com/book?service=Construction%20Expertise","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG3 Construction","patio cover","Phrase","https://kustomxworks.com/book?service=Construction%20Expertise","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG3 Construction","room addition","Phrase","https://kustomxworks.com/book?service=Construction%20Expertise","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG3 Construction","house remodel","Phrase","https://kustomxworks.com/book?service=Construction%20Expertise","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG3 Construction","structural repair","Phrase","https://kustomxworks.com/book?service=Construction%20Expertise","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG3 Construction","dry rot repair","Phrase","https://kustomxworks.com/book?service=Construction%20Expertise","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG3 Construction","pergola contractor","Phrase","https://kustomxworks.com/book?service=Construction%20Expertise","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG3 Construction","decking contractor","Phrase","https://kustomxworks.com/book?service=Construction%20Expertise","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman corona","Exact","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman temecula","Exact","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman murrieta","Exact","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman riverside","Exact","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman moreno valley","Exact","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman near me","Exact","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","drywall repair","Exact","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","house painting contractor","Exact","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman corona","Phrase","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman temecula","Phrase","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman murrieta","Phrase","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman moreno valley","Phrase","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman norco","Phrase","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman hemet","Phrase","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman beaumont","Phrase","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman perris","Phrase","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","handyman palm springs","Phrase","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","drywall repair","Phrase","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","interior painting","Phrase","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","home repair","Phrase","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","door installation","Phrase","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","flooring installation","Phrase","https://kustomxworks.com/book","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG5 Feature Walls","slat wall installation","Exact","https://kustomxworks.com/book?service=Custom%20Slat%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG5 Feature Walls","acoustic wood wall panels","Exact","https://kustomxworks.com/book?service=Custom%20Slat%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG5 Feature Walls","custom feature wall installation","Exact","https://kustomxworks.com/book?service=Custom%20Slat%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG5 Feature Walls","fireplace media wall","Exact","https://kustomxworks.com/book?service=Custom%20Slat%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG5 Feature Walls","custom carpentry contractor","Exact","https://kustomxworks.com/book?service=Custom%20Slat%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG5 Feature Walls","slat wall","Phrase","https://kustomxworks.com/book?service=Custom%20Slat%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG5 Feature Walls","wood feature wall","Phrase","https://kustomxworks.com/book?service=Custom%20Slat%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG5 Feature Walls","media wall","Phrase","https://kustomxworks.com/book?service=Custom%20Slat%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG5 Feature Walls","custom carpentry","Phrase","https://kustomxworks.com/book?service=Custom%20Slat%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG5 Feature Walls","millwork installation","Phrase","https://kustomxworks.com/book?service=Custom%20Slat%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG1 Block Walls","","","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","Same-Week Flat-Rate Quotes","Block Walls, Built Proud","Block Wall Contractor Corona","Free Estimate - No Pressure","Retaining Walls That Last","Background-Checked Pros","10% Senior 15% Military","$50 Off for New Customers","Perimeter & Privacy Walls","Serving 9 Inland Empire Cities","Block Wall Installation Pros","Transparent, No Surprises","Free Site Visit & Estimate","Concrete Block Walls Corona","Satisfaction Guaranteed","Free flat-rate estimate same day. Engineered block walls & masonry for the Inland Empire.","Serving Corona, Murrieta, Temecula, Perris, Moreno Valley, Norco, Hemet & Palm Springs.","10% senior, 15% military, $50 off new customers. No surprise fees - ever.","Background-checked pros. Retaining walls, perimeter & block walls built proud.","block-walls","free-estimate","","","","","","",""
"KX Search - 9-City IE","AG2 Landscaping","","","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping","Custom Desert Landscaping","Same-Week Flat-Rate Quotes","Artificial Turf Installation","Paver Patios Built to Last","Free Estimate - No Pressure","Water-Smart Inland Yards","Xeriscaping & Rock Gardens","$50 Off for New Customers","Background-Checked Pros","Serving 9 Inland Empire Cities","Sod, Turf & Drip Irrigation","Transparent, No Surprises","10% Senior 15% Military","Drought-Tolerant Landscapes","Satisfaction Guaranteed","Free flat-rate estimate same day. Desert-smart landscaping built for the Inland Empire.","Serving Corona, Murrieta, Temecula, Perris, Moreno Valley, Norco, Hemet & Palm Springs.","Paver patios, turf, xeriscaping & irrigation for CA summers. 10% senior, 15% military.","$50 off for new customers. No surprise fees - ever. Background-checked pros, same-week.","landscaping","free-estimate","","","","","","",""
"KX Search - 9-City IE","AG3 Construction","","","https://kustomxworks.com/book?service=Construction%20Expertise","Patio Covers & Room Additions","Same-Week Flat-Rate Quotes","Structural Repair Experts","Free Estimate - No Pressure","Kitchen & Bath Remodels","Dry Rot Repair Specialists","Background-Checked Pros","Serving 9 Inland Empire Cities","Pergolas & Decking Built Right","Transparent, No Surprises","$50 Off for New Customers","10% Senior 15% Military","Construction, Done Proud","Free Site Visit & Estimate","Satisfaction Guaranteed","Free flat-rate estimate same business day. Patio covers, additions & structural repairs.","Serving Corona, Murrieta, Temecula, Perris, Moreno Valley, Norco, Hemet & Palm Springs.","Kitchen & bath remodels, dry rot repair & structural framing. 10% senior, 15% military.","$50 off for new customers. No surprise fees - ever. Background-checked pros.","construction","free-estimate","","","","","","",""
"KX Search - 9-City IE","AG4 Handyman & Repairs","","","https://kustomxworks.com/book","Handyman in Corona & Beyond","Same-Week Flat-Rate Quotes","One Call Handles It All","Drywall, Paint, Doors & More","Free Estimate - No Pressure","10% Senior 15% Military","$50 Off for New Customers","Background-Checked Pros","Serving 9 Inland Empire Cities","Transparent, No Surprises","Home Repairs Done Right","Flooring, Tile & Trim Repair","Same-Week Service","Satisfaction Guaranteed","Book Your Free Site Visit","One call handles the list: drywall, painting, doors, flooring & repairs. Flat rate.","Serving Corona, Murrieta, Temecula, Perris, Moreno Valley, Norco, Hemet & Palm Springs.","10% senior, 15% military, $50 off new customers. Background-checked pros.","Same-week scheduling. Free flat-rate estimate, same business day.","handyman","free-estimate","","","","","","",""
"KX Search - 9-City IE","AG5 Feature Walls","","","https://kustomxworks.com/book?service=Custom%20Slat%20Walls","Custom Slat & Feature Walls","Free Estimate - No Pressure","Wood Feature Walls Installed","Media Walls & Fireplace Suites","Same-Week Flat-Rate Quotes","Custom Carpentry Pros","Acoustic Wood Wall Panels","Serving 9 Inland Empire Cities","Backlit & Built-In Features","Transparent, No Surprises","Background-Checked Pros","$50 Off for New Customers","Satisfaction Guaranteed","Make Your Home Feel Custom","Book Your Free Site Visit","Custom slat walls, media walls & wood features. Free flat-rate estimate same day.","Serving Corona, Murrieta, Temecula, Perris, Moreno Valley, Norco, Hemet & Palm Springs.","Acoustic panels, backlit marble & oak slats - crafted by hand. 10% senior, 15% military.","$50 off for new customers. No surprise fees - ever. Background-checked pros.","feature-walls","free-estimate","","","","","","",""
"KX Search - 9-City IE","","","","","","","","","","","","","","","","","","","","","","","","","","Sitelink","Get Free Estimate","https://kustomxworks.com/book","","","",""
"KX Search - 9-City IE","","","","","","","","","","","","","","","","","","","","","","","","","","Sitelink","Our 9 City Pages","https://kustomxworks.com/handyman/corona","","","",""
"KX Search - 9-City IE","","","","","","","","","","","","","","","","","","","","","","","","","","Sitelink","Discounts","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","",""
"KX Search - 9-City IE","","","","","","","","","","","","","","","","","","","","","","","","","","Callout","","","Same-Week Service","","",""
"KX Search - 9-City IE","","","","","","","","","","","","","","","","","","","","","","","","","","Callout","","","Transparent Flat-Rate Pricing","","",""
"KX Search - 9-City IE","","","","","","","","","","","","","","","","","","","","","","","","","","Callout","","","Background-Checked Pros","","",""
"KX Search - 9-City IE","","","","","","","","","","","","","","","","","","","","","","","","","","Callout","","","Satisfaction Guaranteed","","",""
"KX Search - 9-City IE","","","","","","","","","","","","","","","","","","","","","","","","","","Structured Snippet","","","","Services","Block Walls"," Landscaping"
"KX Search - 9-City IE","","","","","","","","","","","","","","","","","","","","","","","","","","Call Extension","","","","","",""
"KX Search - 9-City IE","","jobs","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","hiring","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","careers","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","salary","Negative Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","diy","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","how","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","to","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","tutorial","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","course","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","training","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","free","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","plans","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","blueprint","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","template","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","for sale","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","for rent","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","clipart","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","images","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","videos","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","youtube","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","","kustom xworks","Negative Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
